,Content ID,User ID,Reaction format,Category,Datetime,Reaction emotions,Reaction Type,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,07-11-2020 09:43,disgust,heart,positive,60
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,17-06-2021 12:22,dislike,want,positive,70
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,18-04-2021 05:13,scared,disgust,negative,0
3,356fff80-da4d-4785-9f43-bc1261031dc6,9fb4ce88-fac1-406c-8544-1a899cee7aaf,photo,technology,06-01-2021 19:13,disgust,hate,negative,5
4,01ab84dd-6364-4236-abbb-3f237db77180,e206e31b-5f85-4964-b6ea-d7ee5324def1,video,food,23-08-2020 12:25,interested,interested,positive,30
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,4607d7b0-3313-49b8-9f73-5b8227fc5b67,GIF,cooking,07-12-2020 06:27,peeking,indifferent,neutral,20
6,3f8590c7-6ab2-4973-805a-90cdec355f05,ae600af5-c1f0-4b1f-adb0-1b4c246373e4,video,dogs,11-04-2021 17:35,cherish,love,positive,65
7,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,583f2bde-886d-4cf3-a5c4-7cb60cd25df3,video,technology,27-01-2021 08:32,hate,super love,positive,75
8,0bedca96-fb76-4287-a83c-17330ed39cce,2bd9c167-e06c-47c1-a978-3403d6724606,photo,soccer,01-04-2021 22:54,peeking,cherish,positive,70
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,13f0db8a-152a-496f-a6e8-1ed6a90b8788,photo,public speaking,07-11-2020 08:36,indifferent,adore,positive,72
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,ef56931b-540b-4166-9090-73ae48ac8d97,GIF,science,02-11-2020 06:28,scared,like,positive,50
11,46fb701d-6c26-458e-ada3-2ebe5dbba01f,4fe1900d-5e78-41a3-88ed-18e6889c6c77,audio,public speaking,01-11-2020 01:16,interested,dislike,negative,10
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,72d2587e-8fae-4626-a73d-352e6465ba0f,GIF,tennis,07-10-2020 18:39,hate,intrigued,positive,45
13,81abd65a-3b76-4574-a0a7-db6bf7184ae2,4793cc6d-be60-42cc-bfd4-7ce8fd4d0eab,video,food,03-09-2020 18:51,scared,peeking,neutral,35
14,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,740a4abd-187d-4783-990b-161c52fb5f86,audio,travel,24-02-2021 05:09,super love,scared,negative,15
15,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,425b7021-0409-4358-af39-2bff14197d0a,GIF,fitness,23-09-2020 06:24,peeking,worried,negative,12
16,f332d362-dc48-46c2-a64b-641157c0987e,05782669-264e-4c14-990e-14c8dbb13bef,GIF,soccer,24-02-2021 11:37,indifferent,,,
17,a2e93b29-9259-4092-a4d7-62d5e823bb74,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,video,public speaking,22-05-2021 19:44,interested,,,
18,9b3a6d30-48e8-476c-82be-9031524bd04d,3d13e0d3-e765-4065-9221-3f864689b9e0,video,food,20-11-2020 17:26,peeking,,,
19,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,a90c3ed2-7c64-47c3-9da5-b10d05f6f9f2,video,tennis,11-04-2021 20:47,worried,,,
20,baa2db00-81ba-4c34-b17d-dd950bfa133b,2f112802-2501-45b5-a9d9-470cda6ef23e,GIF,soccer,13-06-2021 16:46,like,,,
21,f98dde71-ce1d-4f6c-bb05-ae05779d2207,11f207c2-0113-47e5-aa9a-df2c7b91ac75,GIF,soccer,11-04-2021 14:29,heart,,,
22,388bd9db-9d10-4f47-87c4-6db46e83bc95,76cb4dbe-7748-49ab-8179-6e3f3b840dd6,video,education,02-03-2021 19:21,worried,,,
23,78d0075f-895c-4a15-a35c-a921e2bb2cea,34fcadd6-fa9b-4404-981a-c70c86cde556,photo,studying,27-06-2020 18:44,hate,,,
24,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,7719b807-bf22-4b36-8f69-44d9a87d239b,photo,travel,09-05-2021 21:05,hate,,,
25,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,e2377b94-f06a-49ed-a266-377c4b07e980,GIF,food,04-08-2020 23:58,cherish,,,
26,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,10f311c3-f547-4260-8c0e-a155008b7936,audio,dogs,28-08-2020 03:57,super love,,,
27,34a3747a-0b77-42f6-ae19-87c38b94b674,5b62e10e-3c19-4d28-a57c-e9bdc3d6758d,GIF,science,20-04-2021 23:48,scared,,,
